id,proba
280758,0.37
280759,0.63
280760,0.63
280761,0.63
280762,0.63
280763,0.63
280764,0.37
280765,0.63
280766,0.63
280767,0.37
280768,0.37
280769,0.63
280770,0.63
280771,0.63
280772,0.63
280773,0.37
280774,0.63
280775,0.37
280776,0.37
280777,0.37
280778,0.63
280779,0.37
280780,0.37
280781,0.37
280782,0.63
280783,0.63
280784,0.37
280785,0.63
280786,0.63
280787,0.37
280788,0.63
280789,0.37
280790,0.37
280791,0.63
280792,0.37
280793,0.37
280794,0.37
280795,0.37
280796,0.63
280797,0.37
280798,0.63
280799,0.37
280800,0.63
280801,0.37
280802,0.63
280803,0.63
280804,0.63
280805,0.63
280806,0.37
280807,0.63
280808,0.37
280809,0.37
280810,0.37
280811,0.63
280812,0.63
280813,0.63
280814,0.63
280815,0.63
280816,0.37
280817,0.37
280818,0.63
280819,0.37
280820,0.37
280821,0.63
280822,0.63
280823,0.63
280824,0.63
280825,0.37
280826,0.63
280827,0.37
280828,0.37
280829,0.63
280830,0.63
280831,0.37
280832,0.63
280833,0.37
280834,0.63
280835,0.37
280836,0.63
280837,0.63
280838,0.63
280839,0.63
280840,0.37
280841,0.63
280842,0.37
280843,0.37
280844,0.37
280845,0.37
280846,0.37
280847,0.63
280848,0.63
280849,0.63
280850,0.37
280851,0.37
280852,0.37
280853,0.63
280854,0.63
280855,0.63
280856,0.63
280857,0.63
280858,0.37
280859,0.37
280860,0.63
280861,0.63
280862,0.37
280863,0.37
280864,0.63
280865,0.37
280866,0.63
280867,0.63
280868,0.37
280869,0.63
280870,0.63
280871,0.63
280872,0.63
280873,0.37
280874,0.63
280875,0.63
280876,0.63
280877,0.37
280878,0.37
280879,0.63
280880,0.37
280881,0.63
280882,0.63
280883,0.63
280884,0.63
280885,0.63
280886,0.63
280887,0.37
280888,0.63
280889,0.63
280890,0.63
280891,0.63
280892,0.37
280893,0.63
280894,0.63
280895,0.37
280896,0.37
280897,0.63
280898,0.63
280899,0.37
280900,0.63
280901,0.37
280902,0.63
280903,0.37
280904,0.37
280905,0.37
280906,0.37
280907,0.63
280908,0.63
280909,0.37
280910,0.63
280911,0.63
280912,0.37
280913,0.63
280914,0.63
280915,0.37
280916,0.63
280917,0.37
280918,0.37
280919,0.63
280920,0.37
280921,0.63
280922,0.37
280923,0.63
280924,0.37
280925,0.63
280926,0.63
280927,0.63
280928,0.37
280929,0.63
280930,0.63
280931,0.37
280932,0.37
280933,0.37
280934,0.63
280935,0.37
280936,0.63
280937,0.37
280938,0.37
280939,0.37
280940,0.37
280941,0.37
280942,0.37
280943,0.63
280944,0.63
280945,0.63
280946,0.63
280947,0.63
280948,0.37
280949,0.63
280950,0.37
280951,0.63
280952,0.37
280953,0.37
280954,0.63
280955,0.37
280956,0.37
280957,0.63
280958,0.37
280959,0.63
280960,0.37
280961,0.63
280962,0.63
280963,0.63
280964,0.37
280965,0.37
280966,0.37
280967,0.37
280968,0.63
280969,0.63
280970,0.37
280971,0.63
280972,0.37
280973,0.63
280974,0.63
280975,0.63
280976,0.37
280977,0.37
280978,0.63
280979,0.63
280980,0.37
280981,0.37
280982,0.37
280983,0.63
280984,0.63
280985,0.63
280986,0.37
280987,0.37
280988,0.63
280989,0.63
280990,0.37
280991,0.37
280992,0.37
280993,0.37
280994,0.37
280995,0.63
280996,0.63
280997,0.63
280998,0.37
280999,0.63
281000,0.37
281001,0.37
281002,0.37
281003,0.37
281004,0.63
281005,0.37
281006,0.37
281007,0.63
281008,0.37
281009,0.37
281010,0.63
281011,0.63
281012,0.37
281013,0.37
281014,0.37
281015,0.37
281016,0.63
281017,0.37
281018,0.63
281019,0.63
281020,0.37
281021,0.63
281022,0.37
281023,0.37
281024,0.37
281025,0.37
281026,0.37
281027,0.63
281028,0.37
281029,0.63
281030,0.63
281031,0.63
281032,0.37
281033,0.63
281034,0.37
281035,0.63
281036,0.63
281037,0.37
281038,0.37
281039,0.63
281040,0.37
281041,0.37
281042,0.37
281043,0.37
281044,0.37
281045,0.37
281046,0.37
281047,0.63
281048,0.63
281049,0.37
281050,0.63
281051,0.63
281052,0.63
281053,0.37
281054,0.63
281055,0.37
281056,0.63
281057,0.37
281058,0.63
281059,0.63
281060,0.37
281061,0.63
281062,0.63
281063,0.63
281064,0.37
281065,0.63
281066,0.63
281067,0.37
281068,0.37
281069,0.63
281070,0.37
281071,0.63
281072,0.37
281073,0.63
281074,0.63
281075,0.63
281076,0.63
281077,0.37
281078,0.37
281079,0.63
281080,0.63
281081,0.37
281082,0.37
281083,0.37
281084,0.63
281085,0.63
281086,0.63
281087,0.63
281088,0.63
281089,0.37
281090,0.63
281091,0.63
281092,0.37
281093,0.37
281094,0.63
281095,0.63
281096,0.63
281097,0.37
281098,0.63
281099,0.63
281100,0.37
281101,0.37
281102,0.63
281103,0.63
281104,0.63
281105,0.63
281106,0.63
281107,0.37
281108,0.37
281109,0.37
281110,0.37
281111,0.63
281112,0.37
281113,0.37
281114,0.63
281115,0.63
281116,0.37
281117,0.37
281118,0.63
281119,0.63
281120,0.63
281121,0.37
281122,0.37
281123,0.37
281124,0.63
281125,0.63
281126,0.37
281127,0.63
281128,0.63
281129,0.63
281130,0.37
281131,0.37
281132,0.63
281133,0.63
281134,0.37
281135,0.63
281136,0.37
281137,0.37
281138,0.63
281139,0.37
281140,0.63
281141,0.37
281142,0.37
281143,0.63
281144,0.37
281145,0.37
281146,0.37
281147,0.37
281148,0.63
281149,0.63
281150,0.63
281151,0.37
281152,0.63
281153,0.63
281154,0.37
281155,0.37
281156,0.63
281157,0.63
281158,0.37
281159,0.63
281160,0.63
281161,0.63
281162,0.63
281163,0.63
281164,0.63
281165,0.37
281166,0.37
281167,0.63
281168,0.63
281169,0.37
281170,0.37
281171,0.63
281172,0.37
281173,0.63
281174,0.37
281175,0.63
281176,0.63
281177,0.37
281178,0.37
281179,0.63
281180,0.37
281181,0.63
281182,0.37
281183,0.37
281184,0.63
281185,0.63
281186,0.63
281187,0.37
281188,0.63
281189,0.37
281190,0.37
281191,0.63
281192,0.37
281193,0.63
281194,0.63
281195,0.37
281196,0.63
281197,0.37
281198,0.63
281199,0.37
281200,0.37
281201,0.37
281202,0.63
281203,0.37
281204,0.37
281205,0.63
281206,0.37
281207,0.63
281208,0.63
281209,0.37
281210,0.37
281211,0.63
281212,0.37
281213,0.63
281214,0.63
281215,0.63
281216,0.63
281217,0.63
281218,0.63
281219,0.37
281220,0.37
281221,0.37
281222,0.63
281223,0.37
281224,0.37
281225,0.37
281226,0.63
281227,0.37
281228,0.63
281229,0.63
281230,0.63
281231,0.37
281232,0.37
281233,0.63
281234,0.63
281235,0.37
281236,0.63
281237,0.63
281238,0.63
281239,0.37
281240,0.37
281241,0.63
281242,0.63
281243,0.63
281244,0.63
281245,0.63
281246,0.63
281247,0.37
281248,0.63
281249,0.63
281250,0.63
281251,0.37
281252,0.63
281253,0.37
281254,0.63
281255,0.37
281256,0.63
281257,0.63
281258,0.63
281259,0.63
281260,0.37
281261,0.63
281262,0.37
281263,0.63
281264,0.37
281265,0.63
281266,0.63
281267,0.37
281268,0.37
281269,0.37
281270,0.63
281271,0.37
281272,0.63
281273,0.63
281274,0.63
281275,0.63
281276,0.37
281277,0.37
281278,0.63
281279,0.63
281280,0.63
281281,0.63
281282,0.63
281283,0.37
281284,0.63
281285,0.37
281286,0.37
281287,0.63
281288,0.63
281289,0.37
281290,0.63
281291,0.63
281292,0.63
281293,0.37
281294,0.63
281295,0.63
281296,0.37
281297,0.37
281298,0.63
281299,0.63
281300,0.37
281301,0.37
281302,0.63
281303,0.63
281304,0.63
281305,0.37
281306,0.63
281307,0.63
281308,0.37
281309,0.37
281310,0.37
281311,0.37
281312,0.37
281313,0.37
281314,0.37
281315,0.63
281316,0.37
281317,0.63
281318,0.37
281319,0.37
281320,0.37
281321,0.63
281322,0.63
281323,0.37
281324,0.37
281325,0.63
281326,0.63
281327,0.63
281328,0.37
281329,0.63
281330,0.63
281331,0.63
281332,0.37
281333,0.63
281334,0.37
281335,0.37
281336,0.63
281337,0.63
281338,0.37
281339,0.63
281340,0.37
281341,0.63
281342,0.37
281343,0.37
281344,0.63
281345,0.37
281346,0.63
281347,0.63
281348,0.37
281349,0.37
281350,0.37
281351,0.37
281352,0.37
281353,0.63
281354,0.63
281355,0.37
281356,0.37
281357,0.37
281358,0.63
281359,0.63
281360,0.37
281361,0.63
281362,0.37
281363,0.63
281364,0.63
281365,0.63
281366,0.63
281367,0.37
281368,0.37
281369,0.63
281370,0.63
281371,0.63
281372,0.63
281373,0.37
281374,0.37
281375,0.63
281376,0.37
281377,0.63
281378,0.63
281379,0.37
281380,0.63
281381,0.63
281382,0.37
281383,0.37
281384,0.37
281385,0.37
281386,0.63
281387,0.37
281388,0.37
281389,0.63
281390,0.63
281391,0.63
281392,0.63
281393,0.63
281394,0.37
281395,0.37
281396,0.63
281397,0.63
281398,0.63
281399,0.63
281400,0.37
281401,0.37
281402,0.37
281403,0.63
281404,0.63
281405,0.37
281406,0.63
281407,0.37
281408,0.37
281409,0.37
281410,0.37
281411,0.37
281412,0.37
281413,0.37
281414,0.37
281415,0.63
281416,0.37
281417,0.37
281418,0.37
281419,0.63
281420,0.37
281421,0.37
281422,0.37
281423,0.63
281424,0.63
281425,0.37
281426,0.37
281427,0.37
281428,0.63
281429,0.63
281430,0.63
281431,0.63
281432,0.63
281433,0.37
281434,0.37
281435,0.63
281436,0.63
281437,0.37
281438,0.37
281439,0.37
281440,0.63
281441,0.37
281442,0.63
281443,0.63
281444,0.63
281445,0.63
281446,0.37
281447,0.63
281448,0.37
281449,0.63
281450,0.37
281451,0.63
281452,0.63
281453,0.37
281454,0.63
281455,0.63
281456,0.37
281457,0.37
281458,0.37
281459,0.37
281460,0.37
281461,0.63
281462,0.63
281463,0.63
281464,0.63
281465,0.63
281466,0.63
281467,0.37
281468,0.63
281469,0.37
281470,0.63
281471,0.63
281472,0.63
281473,0.63
281474,0.37
281475,0.63
281476,0.37
281477,0.37
281478,0.63
281479,0.37
281480,0.37
281481,0.63
281482,0.37
281483,0.37
281484,0.37
281485,0.37
281486,0.63
281487,0.63
281488,0.37
281489,0.37
281490,0.37
281491,0.37
281492,0.63
281493,0.37
281494,0.63
281495,0.63
281496,0.37
281497,0.63
281498,0.37
281499,0.37
281500,0.37
281501,0.37
281502,0.63
281503,0.63
281504,0.63
281505,0.63
281506,0.63
281507,0.63
281508,0.37
281509,0.63
281510,0.63
281511,0.37
281512,0.37
281513,0.37
281514,0.37
281515,0.63
281516,0.37
281517,0.37
281518,0.37
281519,0.37
281520,0.63
281521,0.63
281522,0.37
281523,0.37
281524,0.37
281525,0.37
281526,0.37
281527,0.63
281528,0.37
281529,0.37
281530,0.63
281531,0.37
281532,0.63
281533,0.63
281534,0.63
281535,0.37
281536,0.63
281537,0.63
281538,0.37
281539,0.63
281540,0.63
281541,0.63
281542,0.63
281543,0.63
281544,0.37
281545,0.63
281546,0.37
281547,0.37
281548,0.63
281549,0.63
281550,0.63
281551,0.37
281552,0.37
281553,0.63
281554,0.37
281555,0.37
281556,0.37
281557,0.63
281558,0.63
281559,0.63
281560,0.37
281561,0.63
281562,0.37
281563,0.63
281564,0.63
281565,0.37
281566,0.63
281567,0.37
281568,0.63
281569,0.37
281570,0.37
281571,0.37
281572,0.37
281573,0.37
281574,0.37
281575,0.63
281576,0.63
281577,0.63
281578,0.37
281579,0.63
281580,0.37
281581,0.63
281582,0.37
281583,0.37
281584,0.37
281585,0.37
281586,0.37
281587,0.37
281588,0.37
281589,0.37
281590,0.63
281591,0.37
281592,0.37
281593,0.63
281594,0.63
281595,0.37
281596,0.63
281597,0.37
281598,0.63
281599,0.63
281600,0.37
281601,0.37
281602,0.37
281603,0.63
281604,0.37
281605,0.63
281606,0.37
281607,0.63
281608,0.63
281609,0.37
281610,0.37
281611,0.37
281612,0.63
281613,0.37
281614,0.37
281615,0.37
281616,0.63
281617,0.37
281618,0.63
281619,0.37
281620,0.37
281621,0.63
281622,0.37
281623,0.37
281624,0.63
281625,0.37
281626,0.63
281627,0.37
281628,0.63
281629,0.63
281630,0.37
281631,0.37
281632,0.37
281633,0.37
281634,0.63
281635,0.37
281636,0.63
281637,0.37
281638,0.37
281639,0.37
281640,0.37
281641,0.63
281642,0.63
281643,0.37
281644,0.63
281645,0.37
281646,0.63
281647,0.63
281648,0.63
281649,0.63
281650,0.37
281651,0.63
281652,0.37
281653,0.63
281654,0.63
281655,0.37
281656,0.63
281657,0.37
281658,0.63
281659,0.37
281660,0.37
281661,0.63
281662,0.37
281663,0.63
281664,0.63
281665,0.37
281666,0.63
281667,0.37
281668,0.37
281669,0.37
281670,0.63
281671,0.37
281672,0.37
281673,0.37
281674,0.63
281675,0.37
281676,0.63
281677,0.37
281678,0.37
281679,0.37
281680,0.37
281681,0.63
281682,0.37
281683,0.63
281684,0.63
281685,0.63
281686,0.63
281687,0.37
281688,0.63
281689,0.63
281690,0.37
281691,0.37
281692,0.37
281693,0.63
281694,0.63
281695,0.37
281696,0.37
281697,0.63
281698,0.63
281699,0.37
281700,0.63
281701,0.37
281702,0.37
281703,0.63
281704,0.37
281705,0.63
281706,0.63
281707,0.37
281708,0.63
281709,0.63
281710,0.63
281711,0.37
281712,0.37
281713,0.63
281714,0.63
281715,0.63
281716,0.37
281717,0.37
281718,0.63
281719,0.37
281720,0.37
281721,0.63
281722,0.63
281723,0.63
281724,0.37
281725,0.63
281726,0.63
281727,0.63
281728,0.37
281729,0.63
281730,0.63
281731,0.37
281732,0.37
281733,0.63
281734,0.37
281735,0.63
281736,0.37
281737,0.37
281738,0.37
281739,0.37
281740,0.63
281741,0.63
281742,0.37
281743,0.63
281744,0.63
281745,0.37
281746,0.37
281747,0.37
281748,0.63
281749,0.37
281750,0.37
281751,0.37
281752,0.37
281753,0.63
281754,0.63
281755,0.63
281756,0.63
281757,0.37
281758,0.63
281759,0.63
281760,0.63
281761,0.63
281762,0.63
281763,0.37
281764,0.37
281765,0.37
281766,0.37
281767,0.37
281768,0.63
281769,0.37
281770,0.63
281771,0.37
281772,0.63
281773,0.63
281774,0.37
281775,0.63
281776,0.63
281777,0.37
281778,0.63
281779,0.63
281780,0.63
281781,0.63
281782,0.37
281783,0.63
281784,0.63
281785,0.63
281786,0.63
281787,0.63
281788,0.37
281789,0.63
281790,0.63
281791,0.37
281792,0.37
281793,0.63
281794,0.37
281795,0.37
281796,0.63
281797,0.63
281798,0.37
281799,0.63
281800,0.37
281801,0.63
281802,0.37
281803,0.37
281804,0.63
281805,0.63
281806,0.37
281807,0.37
281808,0.63
281809,0.37
281810,0.63
281811,0.63
281812,0.37
281813,0.37
281814,0.63
281815,0.37
281816,0.63
281817,0.37
281818,0.63
281819,0.37
281820,0.37
281821,0.37
281822,0.37
281823,0.63
281824,0.37
281825,0.63
281826,0.63
281827,0.63
281828,0.37
281829,0.37
281830,0.63
281831,0.63
281832,0.37
281833,0.63
281834,0.63
281835,0.37
281836,0.63
281837,0.63
281838,0.37
281839,0.63
281840,0.63
281841,0.63
281842,0.63
281843,0.63
281844,0.37
281845,0.37
281846,0.63
281847,0.37
281848,0.37
281849,0.63
281850,0.63
281851,0.63
281852,0.37
281853,0.63
281854,0.37
281855,0.63
281856,0.63
281857,0.37
281858,0.37
281859,0.63
281860,0.63
281861,0.63
281862,0.37
281863,0.37
281864,0.63
281865,0.37
281866,0.63
281867,0.37
281868,0.63
281869,0.63
281870,0.37
281871,0.37
281872,0.63
281873,0.37
281874,0.63
281875,0.37
281876,0.63
281877,0.37
281878,0.63
281879,0.37
281880,0.63
281881,0.63
281882,0.63
281883,0.37
281884,0.37
281885,0.63
281886,0.63
281887,0.63
281888,0.37
281889,0.63
281890,0.37
281891,0.63
281892,0.63
281893,0.37
281894,0.63
281895,0.63
281896,0.63
281897,0.63
281898,0.63
281899,0.63
281900,0.37
281901,0.37
281902,0.37
281903,0.37
281904,0.37
281905,0.37
281906,0.63
281907,0.63
281908,0.63
281909,0.63
281910,0.63
281911,0.63
281912,0.63
281913,0.63
281914,0.63
281915,0.63
281916,0.37
281917,0.37
281918,0.37
281919,0.63
281920,0.63
281921,0.37
281922,0.63
281923,0.37
281924,0.63
281925,0.37
281926,0.63
281927,0.37
281928,0.63
281929,0.37
281930,0.37
281931,0.37
281932,0.63
281933,0.37
281934,0.63
281935,0.37
281936,0.63
281937,0.63
281938,0.37
281939,0.63
281940,0.63
281941,0.37
281942,0.63
281943,0.37
281944,0.63
281945,0.37
281946,0.63
281947,0.63
281948,0.37
281949,0.37
281950,0.37
281951,0.37
281952,0.63
281953,0.63
281954,0.37
281955,0.63
281956,0.63
281957,0.63
281958,0.63
281959,0.37
281960,0.63
281961,0.37
281962,0.63
281963,0.63
281964,0.63
281965,0.37
281966,0.63
281967,0.63
281968,0.37
281969,0.37
281970,0.63
281971,0.63
281972,0.37
281973,0.63
281974,0.37
281975,0.63
281976,0.37
281977,0.63
281978,0.63
281979,0.63
281980,0.37
281981,0.37
281982,0.63
281983,0.63
281984,0.63
281985,0.63
281986,0.37
281987,0.37
281988,0.63
281989,0.37
281990,0.63
281991,0.63
281992,0.37
281993,0.37
281994,0.37
281995,0.37
281996,0.63
281997,0.63
281998,0.63
281999,0.37
282000,0.63
282001,0.63
282002,0.37
282003,0.63
282004,0.63
282005,0.37
282006,0.37
282007,0.63
282008,0.63
282009,0.37
282010,0.37
282011,0.37
282012,0.63
282013,0.37
282014,0.37
282015,0.37
282016,0.63
282017,0.63
282018,0.37
282019,0.63
282020,0.63
282021,0.63
282022,0.63
282023,0.63
282024,0.63
282025,0.63
282026,0.37
282027,0.37
282028,0.63
282029,0.63
282030,0.37
282031,0.37
282032,0.37
282033,0.37
282034,0.63
282035,0.37
282036,0.37
282037,0.63
282038,0.37
282039,0.37
282040,0.63
282041,0.37
282042,0.63
282043,0.63
282044,0.63
282045,0.37
282046,0.63
282047,0.63
282048,0.37
282049,0.37
282050,0.37
282051,0.37
282052,0.37
282053,0.37
282054,0.63
282055,0.63
282056,0.63
282057,0.37
282058,0.63
282059,0.37
282060,0.37
282061,0.37
282062,0.37
282063,0.37
282064,0.63
282065,0.63
282066,0.37
282067,0.37
282068,0.37
282069,0.63
282070,0.37
282071,0.63
282072,0.37
282073,0.63
282074,0.37
282075,0.37
282076,0.37
282077,0.63
282078,0.63
282079,0.37
282080,0.37
282081,0.37
282082,0.63
282083,0.37
282084,0.63
282085,0.63
282086,0.37
282087,0.63
282088,0.37
282089,0.63
282090,0.63
282091,0.63
282092,0.37
282093,0.63
282094,0.37
282095,0.63
282096,0.37
282097,0.63
282098,0.37
282099,0.37
282100,0.37
282101,0.63
282102,0.37
282103,0.37
282104,0.37
282105,0.63
282106,0.63
282107,0.63
282108,0.37
282109,0.37
282110,0.63
282111,0.63
282112,0.63
282113,0.63
282114,0.63
282115,0.63
282116,0.63
282117,0.63
282118,0.37
282119,0.37
282120,0.37
282121,0.37
282122,0.37
282123,0.63
282124,0.63
282125,0.63
282126,0.63
282127,0.63
282128,0.37
282129,0.37
282130,0.63
282131,0.63
282132,0.63
282133,0.63
282134,0.37
282135,0.37
282136,0.63
282137,0.63
282138,0.63
282139,0.63
282140,0.63
282141,0.37
282142,0.37
282143,0.63
282144,0.37
282145,0.63
282146,0.63
282147,0.37
282148,0.37
282149,0.37
282150,0.37
282151,0.63
282152,0.63
282153,0.37
282154,0.63
282155,0.63
282156,0.63
282157,0.63
282158,0.63
282159,0.63
282160,0.63
282161,0.37
282162,0.63
282163,0.63
282164,0.63
282165,0.37
282166,0.37
282167,0.63
282168,0.63
282169,0.63
282170,0.63
282171,0.63
282172,0.37
282173,0.63
282174,0.63
282175,0.37
282176,0.37
282177,0.37
282178,0.37
282179,0.63
282180,0.37
282181,0.63
282182,0.63
282183,0.37
282184,0.37
282185,0.37
282186,0.63
282187,0.63
282188,0.37
282189,0.63
282190,0.37
282191,0.37
282192,0.63
282193,0.37
282194,0.63
282195,0.63
282196,0.63
282197,0.37
282198,0.63
282199,0.37
282200,0.63
282201,0.37
282202,0.63
282203,0.63
282204,0.63
282205,0.63
282206,0.63
282207,0.63
282208,0.37
282209,0.63
282210,0.63
282211,0.63
282212,0.37
282213,0.63
282214,0.37
282215,0.37
282216,0.37
282217,0.37
282218,0.37
282219,0.63
282220,0.63
282221,0.37
282222,0.37
282223,0.37
282224,0.37
282225,0.37
282226,0.63
282227,0.63
282228,0.63
282229,0.37
282230,0.37
282231,0.63
282232,0.63
282233,0.63
282234,0.63
282235,0.63
282236,0.63
282237,0.37
282238,0.37
282239,0.63
282240,0.63
282241,0.37
282242,0.63
282243,0.37
282244,0.37
282245,0.63
282246,0.37
282247,0.37
282248,0.63
282249,0.63
282250,0.63
282251,0.63
282252,0.63
282253,0.63
282254,0.63
282255,0.63
282256,0.37
282257,0.63
282258,0.37
282259,0.63
282260,0.37
282261,0.63
282262,0.37
282263,0.63
282264,0.63
282265,0.37
282266,0.63
282267,0.37
282268,0.37
282269,0.37
282270,0.37
282271,0.37
282272,0.63
282273,0.63
282274,0.37
282275,0.37
282276,0.63
282277,0.37
282278,0.37
282279,0.37
282280,0.63
282281,0.37
282282,0.63
282283,0.37
282284,0.63
282285,0.63
282286,0.63
282287,0.63
282288,0.37
282289,0.37
282290,0.63
282291,0.37
282292,0.37
282293,0.63
282294,0.37
282295,0.63
282296,0.37
282297,0.37
282298,0.63
282299,0.63
282300,0.37
282301,0.37
282302,0.37
282303,0.37
282304,0.37
282305,0.63
282306,0.37
282307,0.63
282308,0.63
282309,0.63
282310,0.37
282311,0.37
282312,0.63
282313,0.37
282314,0.63
282315,0.63
282316,0.63
282317,0.63
282318,0.37
282319,0.63
282320,0.63
282321,0.63
282322,0.37
282323,0.63
282324,0.63
282325,0.37
282326,0.63
282327,0.37
282328,0.63
282329,0.63
282330,0.37
282331,0.37
282332,0.63
282333,0.37
282334,0.63
282335,0.63
282336,0.37
282337,0.63
282338,0.37
282339,0.63
282340,0.63
282341,0.63
282342,0.63
282343,0.63
282344,0.37
282345,0.37
282346,0.63
282347,0.63
282348,0.63
282349,0.63
282350,0.37
282351,0.63
282352,0.37
282353,0.37
282354,0.63
282355,0.63
282356,0.37
282357,0.37
282358,0.37
282359,0.63
282360,0.63
282361,0.63
282362,0.37
282363,0.63
282364,0.63
282365,0.63
282366,0.63
282367,0.63
282368,0.37
282369,0.37
282370,0.63
282371,0.63
282372,0.63
282373,0.37
282374,0.63
282375,0.37
282376,0.63
282377,0.37
282378,0.37
282379,0.63
282380,0.63
282381,0.37
282382,0.63
282383,0.63
282384,0.63
282385,0.63
282386,0.37
282387,0.63
282388,0.63
282389,0.63
282390,0.63
282391,0.37
282392,0.63
282393,0.63
282394,0.37
282395,0.63
282396,0.63
282397,0.37
282398,0.63
282399,0.63
282400,0.37
282401,0.37
282402,0.37
282403,0.63
282404,0.37
282405,0.63
282406,0.63
282407,0.37
282408,0.37
282409,0.37
282410,0.63
282411,0.37
282412,0.37
282413,0.37
282414,0.37
282415,0.63
282416,0.37
282417,0.63
282418,0.63
282419,0.63
282420,0.63
282421,0.37
282422,0.37
282423,0.37
282424,0.37
282425,0.37
282426,0.63
282427,0.63
282428,0.37
282429,0.63
282430,0.37
282431,0.37
282432,0.63
282433,0.63
282434,0.37
282435,0.37
282436,0.37
282437,0.63
282438,0.63
282439,0.63
282440,0.63
282441,0.63
282442,0.63
282443,0.37
282444,0.37
282445,0.63
282446,0.37
282447,0.37
282448,0.37
282449,0.63
282450,0.37
282451,0.63
282452,0.37
282453,0.63
282454,0.63
282455,0.37
282456,0.37
282457,0.37
282458,0.63
282459,0.63
282460,0.63
282461,0.63
282462,0.63
282463,0.63
282464,0.37
282465,0.37
282466,0.37
282467,0.63
282468,0.37
282469,0.63
282470,0.37
282471,0.63
282472,0.63
282473,0.63
282474,0.37
282475,0.63
282476,0.37
282477,0.63
282478,0.63
282479,0.37
282480,0.37
282481,0.37
282482,0.63
282483,0.63
282484,0.63
282485,0.63
282486,0.63
282487,0.37
282488,0.63
282489,0.63
282490,0.37
282491,0.63
282492,0.37
282493,0.37
282494,0.37
282495,0.37
282496,0.63
282497,0.37
282498,0.37
282499,0.63
282500,0.63
282501,0.37
282502,0.63
282503,0.63
282504,0.63
282505,0.37
282506,0.37
282507,0.63
282508,0.63
282509,0.37
282510,0.63
282511,0.37
282512,0.37
282513,0.37
282514,0.37
282515,0.37
282516,0.63
282517,0.63
